invest_date,period,invest,est_yearly_interest_rate,branch_id
2016-04-29,2,148156000.0,1.0698630136986302,005
2017-11-15,1,371205000.0,0.9719723183391004,005
2017-11-08,1,373777000.0,0.9768166089965399,005
2015-07-29,1,39820000.0,1.3345454545454545,005
2016-11-18,1,92217000.0,1.0008450704225351,005
2015-06-09,6,15342000.0,1.4572727272727273,005
2015-06-12,3,13175000.0,1.4572727272727273,005
2016-07-20,6,59751000.0,1.0227397260273974,005
2017-04-27,5,249969000.0,1.0932394366197185,005
2017-04-12,4,222267000.0,1.0842253521126761,005
2015-11-20,5,39952000.0,1.1922613065326635,005
2015-11-30,5,83764000.0,1.1832160804020102,005
2017-05-15,4,159502000.0,1.0972318339100346,005
2015-12-01,1,93733000.0,1.185929648241206,005
2016-09-30,6,99425000.0,0.9832876712328766,005
2015-09-07,4,27680000.0,1.260100502512563,005
2017-03-16,5,97308000.0,1.0695774647887324,005
2015-06-02,1,2473000.0,1.49,005
2017-07-11,4,311191000.0,1.0577854671280278,005
2017-05-16,5,241420000.0,1.095847750865052,005
2017-02-23,1,165349000.0,1.0554929577464789,005
2015-04-22,6,10852000.0,1.5565656565656567,005
2018-01-26,5,384655000.0,0.9193771626297578,005
2015-07-02,1,26081000.0,1.4081818181818182,005
2016-05-10,6,24929000.0,1.0616438356164384,005
2017-12-06,5,12151000.0,0.9546712802768167,005
2017-06-07,3,102250000.0,1.082006920415225,005
2015-12-02,2,60289000.0,1.1841206030150755,005
2017-04-25,2,283002000.0,1.0904225352112678,005
2015-10-26,3,4895000.0,1.2166834170854273,005
2016-08-09,1,175656000.0,1.0145205479452055,005
2016-04-18,3,112502000.0,1.0753424657534247,005
2015-05-27,1,23477000.0,1.5063636363636363,005
2017-11-13,5,95146000.0,0.9705882352941178,005
2015-07-13,1,144000.0,1.3781818181818182,005
2017-10-25,1,16895000.0,0.9865051903114187,005
2016-04-07,6,123648000.0,1.0797260273972604,005
2016-02-01,2,35914000.0,1.1289447236180905,005
2015-05-22,5,28506000.0,1.509090909090909,005
2015-12-25,5,45676000.0,1.160603015075377,005
2015-11-02,2,38170000.0,1.2112562814070351,005
2016-07-19,6,174466000.0,1.0232876712328767,005
2015-04-27,5,2322000.0,1.5545454545454547,005
2017-11-09,6,24898000.0,0.9726643598615917,005
2018-02-05,3,366785000.0,0.913840830449827,005
2015-10-20,5,18248000.0,1.2203015075376884,005
2017-11-30,6,9168000.0,0.9581314878892734,005
2017-10-16,1,145680000.0,0.9927335640138408,005
2016-10-24,3,68807000.0,0.987887323943662,005
2015-05-29,1,26094000.0,1.500909090909091,005
2016-06-15,1,60162000.0,1.0446575342465754,005
2015-12-18,2,54299000.0,1.1696482412060303,005
2015-10-29,1,28191000.0,1.2157788944723618,005
2017-08-18,2,169412000.0,1.0328719723183393,005
2017-07-10,2,70949000.0,1.0598615916955019,005
2015-04-13,6,15558000.0,1.5611111111111111,005
2016-07-05,1,149559000.0,1.0336986301369864,005
2016-01-26,6,56637000.0,1.130753768844221,005
2017-05-25,1,28213000.0,1.0923875432525953,005
2016-03-02,6,153766000.0,1.0994520547945206,005
2016-05-20,5,61083000.0,1.0567123287671234,005
2018-01-15,4,166346000.0,0.927681660899654,005
2017-11-07,6,86052000.0,0.9740484429065744,005
2017-11-17,6,216324000.0,0.967128027681661,005
2017-10-13,2,410938000.0,0.9941176470588236,005
2017-10-27,1,322834000.0,0.9851211072664361,005
2017-03-20,3,264714000.0,1.0707042253521126,005
2016-04-13,1,41215000.0,1.3623943661971831,006
2016-05-27,6,60385000.0,1.3002816901408452,006
2016-04-27,5,65306000.0,1.3395774647887324,006
2015-04-08,3,-395000.0,1.5880622837370244,006
2015-04-27,4,605000.0,1.5846020761245676,006
2016-09-08,5,50057000.0,1.1236363636363638,006
2018-01-03,4,204115000.0,0.9474885844748859,006
2016-01-27,3,55629000.0,1.4574647887323944,006
2016-05-16,4,43085000.0,1.3167605633802817,006
2015-05-05,1,58000.0,1.5837370242214535,006
2017-07-06,2,34014000.0,1.0818181818181818,006
2017-05-08,3,29478000.0,1.0115151515151515,006
2017-10-18,3,55821000.0,1.0187214611872146,006
2017-08-11,1,93287000.0,1.0826484018264841,006
2015-07-13,5,9216000.0,1.5711072664359862,006
2015-06-15,5,5412000.0,1.5759515570934257,006
2017-11-24,4,86447000.0,0.9840182648401827,006
2017-09-21,1,164969000.0,1.0452054794520549,006
2017-09-19,3,86588000.0,1.0452054794520549,006
2017-07-11,3,58686000.0,1.089090909090909,006
2016-06-21,5,13146000.0,1.2672727272727273,006
2016-04-08,1,48773000.0,1.368732394366197,006
2016-10-12,1,54795000.0,1.09035175879397,006
2016-10-08,5,97756000.0,1.09035175879397,006
2017-11-13,3,178489000.0,0.9949771689497717,006
2017-03-24,2,23491000.0,0.9914572864321608,006
2016-07-05,5,40128000.0,1.241818181818182,006
2015-11-03,1,4896000.0,1.552249134948097,006
2015-05-12,1,6942000.0,1.5825259515570935,006
